Diamine SMILES,Dianhydride SMILES
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(-c2ccc(-c3ccc(C(=O)Nc4ccc5c(c4)C(=O)OC5=O)cc3)cc2)cc1,Nc1ccc(C(=O)CNc2ccc(C(=O)C(=O)c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(C(O)CC(O)c2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)NCc2ccc(C(=O)C(O)c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(/C=C/c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)cc1)/C=C/c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)NCc2ccc(C(O)C(O)c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(/C=C/C(O)/C=C/c2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)CCc2ccc(C(=O)CC(=O)c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Nc1ccc2c(c1)C(=O)OC2=O)c1ccc(CCC(O)CCc2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)NCc2ccc(C#CC#Cc3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1/C(=C/c2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)CCC/C1=C\c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)NCc2ccc(/C=C/c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C1/C(=C/c2ccc(C(=O)Nc3ccc4c(c3)C(=O)OC4=O)cc2)CC/C1=C\c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)NCc2ccc(-c3ccc(-c4ccc(CNC(=O)c5ccc(N)cc5)cc4)[nH]3)cc2)cc1
O=C(Oc1ccc2c(c1)C(=O)OC2=O)c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)NCc2ccc(-c3ccc(-c4ccc(CNC(=O)c5ccc(N)cc5)cc4)cc3)cc2)cc1
O=C(Oc1ccc2c(c1)C(=O)OC2=O)c1ccc(Oc2ccc(C(=O)Oc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)NCc2ccc(C(O)CC(O)c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Oc1ccc2c(c1)C(=O)OC2=O)c1ccc(COCc2ccc(C(=O)Oc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)NCc2ccc(/C=C/C(=O)/C=C/c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Oc1ccc2c(c1)C(=O)OC2=O)c1ccc(COCOCc2ccc(C(=O)Oc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)NCc2ccc(/C=C/C(O)/C=C/c3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
O=C(Oc1ccc2c(c1)C(=O)OC2=O)c1ccc(COCCOc2ccc(C(=O)Oc3ccc4c(c3)C(=O)OC4=O)cc2)cc1,Nc1ccc(C(=O)NCc2ccc(CCC(O)CCc3ccc(CNC(=O)c4ccc(N)cc4)cc3)cc2)cc1
CN(Cc1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)cc1)Cc1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(C(=O)NCc2ccc(/C=C3\CCC/C(=C\c4ccc(CNC(=O)c5ccc(N)cc5)cc4)C3=O)cc2)cc1
