SMILES,MD_Fracture_Stress_GPa,Gaussian_NLL_Predicted_Mean_GPa,MSE_Predicted_Mean_GPa,Gaussian_NLL_Std_GPa,MSE_Std_GPa
O=C(OCc1ccc(COCc2ccc(COC(=O)c3ccc(N4C(=O)c5ccc(OC(=O)c6ccc(C(=O)C(=O)c7ccc(C(=O)Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1,10.31478534,10.21356,9.26063,0.25926408,0.5958027
O=C(OCc1ccc(-c2ccc(COC(=O)c3ccc4c(c3)C(=O)N(c3ccc(OCc5ccc(CCC(O)CCc6ccc(COc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O,10.68163719,11.37628,10.20424,0.4970756,0.65237486
O=C(OCc1ccc(C(=O)c2ccc(COC(=O)c3ccc(N4C(=O)c5ccc(OC(=O)c6ccc(C#CC#Cc7ccc(C(=O)Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1,11.03828738,10.59939,9.50024,0.4556947,0.698955
O=C(Oc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(C(=O)c2ccc(C(=O)Oc3ccc4c(c3)C(=O)N(c3ccc(OCc5ccc(CCC(O)CCc6ccc(COc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1,11.46793522,13.44193,12.190129,0.58011854,0.5770902
O=C1/C(=C/c2ccc(COC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)CCC/C1=C\c1ccc(COC(=O)c2ccc3c(c2)C(=O)N(c2ccc(OC(=O)c4ccc(-c5ccc(-c6ccc(C(=O)Oc7ccc(*)cc7)cc6)cc5)cc4)cc2)C3=O)cc1,11.96958175,11.841331,11.048391,0.30709082,0.60628474
O=C1c2ccc(-c3ccc(C(O)c4ccc(-c5ccc6c(c5)C(=O)N(c5ccc(OCc7ccc(-c8ccc(-c9ccc(COc%10ccc(*)cc%10)cc9)[nH]8)cc7)cc5)C6=O)cc4)cc3)cc2C(=O)N1*,12.07543846,12.4816,10.979311,1.0144991,0.38587037
O=C(CC(=O)c1ccc(-c2ccc3c(c2)C(=O)N(c2ccc(-c4ccc(COCc5ccc(-c6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1)c1ccc(-c2ccc3c(c2)C(=O)N(*)C3=O)cc1,12.13674379,13.316839,11.831749,0.46546236,0.908163
O=C(c1ccc(/C=C/C(O)/C=C/c2ccc(C(=O)c3ccc4c(c3)C(=O)N(c3ccc(OCc5ccc(-c6ccc(-c7ccc(COc8ccc(*)cc8)cc7)[nH]6)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O,12.78693099,13.13013,11.653139,0.72306633,0.4490511
O=C(Oc1ccc(*)cc1)c1ccc(Oc2ccc(C(=O)Oc3ccc(N4C(=O)c5ccc(-c6ccc(/C=C/C(O)/C=C/c7ccc(-c8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1,12.83168665,15.47791,14.768331,0.5925415,0.53122663
O=C1/C(=C/c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)CCC/C1=C\c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(OC(=O)c4ccc(Oc5ccc(C(=O)Oc6ccc(*)cc6)cc5)cc4)cc2)C3=O)cc1,13.13420014,15.30834,14.31649,0.63344413,0.51539564
O=C(Oc1ccc(*)cc1)c1ccc(Oc2ccc(C(=O)Oc3ccc(N4C(=O)c5ccc(C(=O)c6ccc(COCCOCc7ccc(C(=O)c8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1,13.39719471,14.316248,13.764481,0.37656394,0.66338253
